"nama","gender","usia","area","ses","user_ts","user_ns","tom","unaided_1","unaided_2","unaided_3"
"Gloyd, Monica","M","11 - 15 th","BARA","Mid","tidak","ya","trans tv","indosiar","net","trans7"
"Endo, Jenny","F","26 - 30 th","Jabar","Mid","ya","ya","trans7","mnc tv","sctv","indosiar"
"Mcdonald, Glenn","F","21 - 25 th","Jabar","Up1","ya","tidak","rcti","sctv","net","trans7"
"Fling-Salazar, Kali","M","> 30 th","Jateng","Super","ya","tidak","trans7","sctv","net","inews"
"al-Rassi, Najeeba","F","> 30 th","Jatim","Mid","ya","ya","indosiar","trans7","sctv","inews"
"Xiong, Truyen","M","21 - 25 th","BARA","Up2","ya","ya","net","mnc tv","rcti","trans7"
"Romero, Joel","M","11 - 15 th","Jateng","Mid","ya","ya","trans tv","mnc tv","sctv","tv one"
"Laroche, Ashley","F","16 - 20 th","Kalimantan","Mid","ya","ya","net","mnc tv","trans tv","trans7"
"el-Ismail, Sadi","F","26 - 30 th","Jabodetabek","Mid","tidak","ya","mnc tv","inews","trans7","net"
"Shroyer, Guillermo","M","> 30 th","SUM 2","Mid","ya","ya","net","mnc tv","trans7","inews"
"Otero, Jeffrey","M","21 - 25 th","Jabar","Mid","tidak","ya","net","rcti","trans7","inews"
"al-Sayed, Zuraara","F","26 - 30 th","Jabodetabek","Mid","ya","ya","net","trans tv","mnc tv","sctv"
"Padilla, Layla","F","21 - 25 th","Jabodetabek","Up2","tidak","ya","trans tv","sctv","net","inews"
"Gunther, Kaylee","M","26 - 30 th","Jatim","Super","ya","ya","mnc tv","net","sctv","trans7"
"Djokic, Chaochih","M","26 - 30 th","Jatim","Super","ya","ya","inews","net","sctv","trans tv"
"Strock, Tristan","F","16 - 20 th","Kalimantan","Mid","tidak","ya","net","inews","sctv","mnc tv"
"Kennedy, Michael","F","21 - 25 th","PUMA","Up2","tidak","ya","sctv","net","rcti","mnc tv"
"Garcia, Amanda","F","16 - 20 th","BARA","Super","ya","ya","net","trans7","sctv","trans tv"
"Lang, Melissa","F","21 - 25 th","Jabodetabek","Mid","tidak","ya","inews","rcti","net","trans tv"
"Nicholson, Annabel","M","26 - 30 th","PUMA","Mid","ya","ya","net","indosiar","inews","sctv"
"al-Yousif, Badr","M","> 30 th","Jatim","Mid","tidak","ya","inews","rcti","net","trans7"
"Batchelder, Leah","M","21 - 25 th","SUM 2","Up1","ya","ya","indosiar","net","trans tv","sctv"
"al-Saleem, Arhab","F","21 - 25 th","SUM 1","Up1","ya","ya","trans7","trans tv","sctv","net"
"Kitsmiller, Amber","M","> 30 th","Jabar","Up1","ya","tidak","sctv","trans7","tv one","trans tv"
"Victoria, Brianna","F","> 30 th","Jabar","Mid","ya","tidak","trans tv","net","indosiar","sctv"
"Lueders, Ryan","F","21 - 25 th","Jabodetabek","Mid","tidak","ya","trans7","mnc tv","net","rcti"
"Hicks, Anique","F","16 - 20 th","SUM 2","Super","ya","ya","sctv","inews","net","trans tv"
"Evans, Rachel","M","26 - 30 th","SUM 1","Mid","tidak","ya","trans7","sctv","indosiar","rcti"
"Martin, Grace","M","21 - 25 th","Kalimantan","Up1","ya","ya","trans tv","trans7","sctv","rcti"
"Crowdy, Bradlee","F","> 30 th","Jabodetabek","Super","tidak","ya","net","trans7","sctv","trans tv"
"Asberry, Marcus","F","21 - 25 th","Jabar","Super","ya","tidak","rcti","tv one","sctv","trans7"
"Brock, Wendy","F","16 - 20 th","BARA","Mid","ya","ya","mnc tv","inews","trans7","trans tv"
"Cornelius, Joshua","M","21 - 25 th","Sulawesi","Mid","ya","ya","sctv","net","inews","indosiar"
"Bryson, Deangelo","M","> 30 th","SUM 2","Mid","ya","ya","indosiar","inews","rcti","sctv"
"el-Zaman, Abdul Jaleel","F","21 - 25 th","Jabodetabek","Mid","tidak","ya","trans tv","net","mnc tv","indosiar"
"Telea, Kyle","M","26 - 30 th","Jatim","Mid","tidak","ya","sctv","net","rcti","trans7"
"el-Bagheri, Sireen","M","26 - 30 th","Jabodetabek","Super","tidak","tidak","sctv","mnc tv","indosiar","net"
"Mount, Taylr","F","21 - 25 th","Jatim","Mid","ya","tidak","inews","trans tv","indosiar","tv one"
"Lungu, Aliyah","M","21 - 25 th","Jabodetabek","Up2","tidak","ya","net","indosiar","trans7","inews"
"Nevarez, Virginia","F","16 - 20 th","SUM 1","Up1","ya","ya","trans7","sctv","net","mnc tv"
"Wimmer, Elena","M","11 - 15 th","Jatim","Up1","ya","ya","trans7","sctv","tv one","rcti"
"Park, Isabella","M","21 - 25 th","PUMA","Up1","ya","ya","mnc tv","trans tv","rcti","sctv"
"Gilmer, Jordan","M","26 - 30 th","Sulawesi","Mid","ya","ya","net","rcti","trans tv","inews"
"el-Hossain, Naaji","M","26 - 30 th","Jabar","Mid","tidak","ya","sctv","net","trans7","mnc tv"
"Casias, Jose","F","21 - 25 th","Jabodetabek","Mid","ya","ya","sctv","trans7","rcti","net"
"Murphy, Elijah","F","21 - 25 th","SUM 1","Up1","tidak","tidak","rcti","sctv","trans tv","net"
"el-Ahsan, Abdul Jaleel","F","21 - 25 th","Jatim","Up1","ya","ya","inews","net","trans7","trans tv"
"Almodovar, Savanna","F","> 30 th","SUM 2","Up1","ya","tidak","trans7","mnc tv","inews","net"
"Ali, Brenda","M","21 - 25 th","Jateng","Mid","ya","ya","trans7","trans tv","sctv","rcti"
"Walters, Lindsey","M","21 - 25 th","Jateng","Mid","ya","tidak","trans7","net","tv one","indosiar"
"al-Samara, Muzammil","F","11 - 15 th","Jabodetabek","Up1","tidak","tidak","inews","mnc tv","tv one","rcti"
"Huffaker, Bryony","F","16 - 20 th","Kalimantan","Mid","ya","ya","inews","sctv","trans7","tv one"
"Delger, Joseph","F","26 - 30 th","PUMA","Mid","tidak","tidak","sctv","net","trans tv","mnc tv"
"Hunter, Cody","M","26 - 30 th","PUMA","Mid","ya","ya","trans7","net","tv one","trans tv"
"Crowe, Katherine","M","> 30 th","Jateng","Mid","tidak","ya","mnc tv","rcti","trans7","sctv"
"Gulley, Desmond","M","21 - 25 th","Jabar","Up1","tidak","tidak","net","rcti","sctv","trans tv"
"Cramer, Shannon","M","16 - 20 th","PUMA","Mid","tidak","ya","mnc tv","rcti","net","trans7"
"Clothier, Francis","M","21 - 25 th","Jatim","Up1","ya","ya","net","trans tv","sctv","tv one"
"Andrada, Kelly","F","21 - 25 th","SUM 1","Mid","ya","ya","sctv","trans7","net","trans tv"
"Allen, Tiara","M","16 - 20 th","Jatim","Up1","tidak","tidak","net","inews","mnc tv","sctv"
"Witthuhn, Justin","F","21 - 25 th","Jabodetabek","Mid","tidak","ya","trans tv","sctv","trans7","rcti"
"Ilgenfritz, Deion","F","21 - 25 th","PUMA","Up2","tidak","ya","net","trans tv","inews","tv one"
"Pasley, Kaylah","F","11 - 15 th","SUM 2","Mid","tidak","ya","net","mnc tv","trans tv","trans7"
"Carruthers, Xavi","F","16 - 20 th","SUM 1","Up2","tidak","ya","mnc tv","net","tv one","trans tv"
"Jimenez, Cendy","F","26 - 30 th","Jabodetabek","Super","tidak","ya","net","inews","rcti","trans7"
"Adolpho, Ryoga","F","21 - 25 th","SUM 1","Up2","tidak","tidak","rcti","net","mnc tv","trans7"
"Martinez, Ashlynne","F","26 - 30 th","Jabar","Super","ya","ya","trans7","sctv","mnc tv","net"
"Spratte, Alicia","M","21 - 25 th","Jabodetabek","Super","ya","ya","sctv","net","trans7","rcti"
"Torres, Blake","M","> 30 th","SUM 1","Mid","ya","ya","net","rcti","indosiar","trans tv"
"Yeung, Marcus","F","11 - 15 th","Jabodetabek","Up1","tidak","ya","rcti","trans7","net","mnc tv"
"Everett, Lily","F","21 - 25 th","SUM 2","Up1","ya","tidak","net","sctv","trans7","trans tv"
"Lee, Alexandra","M","26 - 30 th","PUMA","Up1","ya","ya","trans7","inews","net","sctv"
"Duffield, Lauren","M","21 - 25 th","BARA","Up2","tidak","ya","trans7","indosiar","trans tv","mnc tv"
"Salvador-Rojas, Benito","M","11 - 15 th","Jateng","Up1","ya","ya","trans7","inews","mnc tv","net"
"Yie, Erica","F","> 30 th","Jabodetabek","Up2","tidak","ya","sctv","mnc tv","tv one","trans7"
"al-Huq, Abdul Ghafoor","M","16 - 20 th","Jabodetabek","Up2","tidak","ya","net","inews","trans7","sctv"
"Agbenyo, Chanelle","M","26 - 30 th","Jabodetabek","Super","tidak","ya","sctv","trans7","rcti","inews"
"el-Rahmani, Nu'maan","F","21 - 25 th","PUMA","Super","ya","ya","tv one","net","trans7","trans tv"
"Goheen, Andrew","M","16 - 20 th","Kalimantan","Up1","tidak","ya","trans tv","sctv","mnc tv","rcti"
"Thomas, Shanta","F","11 - 15 th","Jabodetabek","Super","ya","ya","net","mnc tv","trans tv","rcti"
"Geauthreaux, Shane","M","26 - 30 th","Jateng","Up1","tidak","ya","trans tv","rcti","tv one","inews"
"Bueno, Christian","M","26 - 30 th","PUMA","Mid","ya","ya","trans tv","mnc tv","net","sctv"
"al-Mian, Hadbaaa","M","> 30 th","Jabodetabek","Mid","tidak","ya","trans7","sctv","net","trans tv"
"White, Eric","F","16 - 20 th","Jatim","Super","ya","ya","trans tv","indosiar","net","trans7"
"el-Saab, Aaisha","F","21 - 25 th","Jabodetabek","Mid","tidak","ya","sctv","net","rcti","trans tv"
"Halaseh, Karalyssa","M","16 - 20 th","Jabar","Super","ya","ya","net","trans7","mnc tv","sctv"
"Lucero-Roller, Gregory","F","> 30 th","Jatim","Up1","tidak","ya","trans tv","sctv","rcti","trans7"
"Huynh, Scott","F","21 - 25 th","Jabar","Super","tidak","tidak","mnc tv","inews","net","rcti"
"Mcmullin, Emma","M","11 - 15 th","Jateng","Super","tidak","ya","net","inews","sctv","trans7"
"Kim, Ngoclan","F","11 - 15 th","Jabodetabek","Mid","tidak","ya","net","trans tv","sctv","trans7"
"Outman, Lizette","F","21 - 25 th","BARA","Mid","ya","ya","trans7","mnc tv","net","tv one"
"al-Azad, Bassaam","F","26 - 30 th","Jateng","Mid","ya","ya","rcti","inews","tv one","net"
"Miller, Imani","F","26 - 30 th","Jatim","Mid","ya","tidak","inews","trans7","sctv","rcti"
"Wilburn, Jordan","M","11 - 15 th","Jateng","Super","tidak","ya","trans7","net","mnc tv","rcti"
"Manley, Justin","M","26 - 30 th","Jabodetabek","Super","ya","ya","sctv","net","trans7","mnc tv"
"Mor, Hamid","M","> 30 th","Jabar","Mid","tidak","ya","rcti","trans tv","trans7","indosiar"
"Ortegon, Sonia","F","21 - 25 th","PUMA","Mid","ya","ya","inews","sctv","net","tv one"
"Apineru, Ricky","M","11 - 15 th","SUM 2","Up1","ya","ya","trans7","inews","rcti","trans tv"
"Brady, Demetrius","F","11 - 15 th","Jabodetabek","Mid","ya","ya","sctv","trans7","inews","net"
"al-Assad, Murshid","F","26 - 30 th","Jateng","Mid","ya","ya","trans tv","net","trans7","mnc tv"
"Leblanc, Carson","F","21 - 25 th","Jabodetabek","Super","tidak","ya","trans7","trans tv","net","mnc tv"
"Coleman, Nyel","F","11 - 15 th","Jabar","Up1","tidak","ya","net","inews","mnc tv","tv one"
"Clark, Briana","F","16 - 20 th","Jabodetabek","Up1","ya","ya","net","mnc tv","sctv","indosiar"
"al-Habib, Tuhfa","F","26 - 30 th","PUMA","Mid","ya","ya","trans tv","trans7","indosiar","mnc tv"
"Seo, Anandhuu","M","26 - 30 th","Sulawesi","Mid","tidak","ya","trans7","inews","mnc tv","net"
"Cobbins, Amanda","M","26 - 30 th","Jabar","Up1","ya","ya","sctv","net","tv one","trans tv"
"Molina, Richard","F","> 30 th","Kalimantan","Up1","tidak","ya","net","trans tv","tv one","inews"
"al-Mahmud, Siddeeqa","M","16 - 20 th","Jabar","Up1","ya","ya","net","mnc tv","trans7","indosiar"
"Ellsworth, Joseph","M","21 - 25 th","Jatim","Mid","tidak","ya","net","tv one","trans tv","inews"
"Thong, Emmanuel","M","21 - 25 th","Sulawesi","Up1","tidak","ya","sctv","trans tv","net","inews"
"Senthil Nathan, Sonia","M","26 - 30 th","BARA","Mid","ya","ya","indosiar","tv one","sctv","trans7"
"Lastrella, Samuel","F","26 - 30 th","PUMA","Mid","tidak","ya","trans tv","net","mnc tv","inews"
"Blake, Mason","F","21 - 25 th","PUMA","Up1","ya","ya","trans7","sctv","rcti","indosiar"
"Mills, Phanesha","F","21 - 25 th","Jabodetabek","Mid","ya","tidak","rcti","sctv","mnc tv","trans7"
"Christie, Waiverly","F","26 - 30 th","PUMA","Up1","ya","ya","net","rcti","inews","sctv"
"Williams-Bright, T'Keyah","M","11 - 15 th","Jatim","Mid","tidak","ya","net","inews","rcti","trans7"
"Baskett, Jonathan","F","21 - 25 th","Sulawesi","Mid","tidak","ya","indosiar","trans7","mnc tv","trans tv"
"O Hara, Kegan","F","26 - 30 th","Jabar","Super","tidak","ya","mnc tv","net","trans7","inews"
"Chongtoua, Madison","M","21 - 25 th","SUM 1","Up1","tidak","tidak","tv one","inews","trans7","mnc tv"
"el-Mussa, Zainuddeen","M","21 - 25 th","Jateng","Super","ya","ya","net","trans7","sctv","trans tv"
"Jones, Keleka","M","26 - 30 th","Jatim","Mid","ya","ya","mnc tv","trans7","sctv","trans tv"
"Rybczyk, Chad","F","21 - 25 th","BARA","Mid","tidak","ya","rcti","mnc tv","trans7","net"
"al-Azimi, Abdur Raqeeb","M","26 - 30 th","Jabodetabek","Mid","ya","ya","rcti","trans tv","net","tv one"
"Chung, Chaelene","F","11 - 15 th","PUMA","Super","ya","ya","net","sctv","tv one","indosiar"
"el-Mirza, Farhaana","F","16 - 20 th","Jabodetabek","Mid","tidak","tidak","sctv","net","tv one","indosiar"
"Trujillo, Rafael","F","16 - 20 th","Jatim","Mid","ya","ya","trans tv","mnc tv","trans7","net"
"Mandell, Danny","F","21 - 25 th","PUMA","Up1","tidak","tidak","net","mnc tv","rcti","inews"
"Gilbert-Mayes, Danielle","M","26 - 30 th","Kalimantan","Mid","tidak","ya","sctv","inews","net","rcti"
"Richey, West","M","16 - 20 th","Jateng","Up2","ya","ya","sctv","rcti","trans tv","inews"
"Wilson, Henry","F","> 30 th","PUMA","Super","ya","ya","net","sctv","trans tv","indosiar"
"al-Ibrahim, Manaahil","M","16 - 20 th","Jatim","Up1","ya","ya","trans7","trans tv","tv one","sctv"
"Tran, Nalani","F","16 - 20 th","Jabodetabek","Super","tidak","ya","net","sctv","trans7","mnc tv"
"Billie, Luke","F","26 - 30 th","Jabar","Super","tidak","ya","inews","net","trans7","sctv"
"el-Atallah, Yusri","M","16 - 20 th","Jabodetabek","Mid","tidak","tidak","net","trans tv","sctv","trans7"
"Carey, Christian","M","21 - 25 th","Jatim","Mid","ya","tidak","trans7","trans tv","inews","tv one"
"Coen, Angelica","M","16 - 20 th","SUM 1","Super","tidak","ya","trans tv","net","mnc tv","trans7"
"Le, Josilyn","M","26 - 30 th","Jabodetabek","Super","ya","ya","inews","trans7","rcti","sctv"
"el-Salman, Afaaf","M","16 - 20 th","SUM 2","Super","ya","ya","rcti","mnc tv","trans tv","tv one"
"al-Siddiqi, Jumaana","M","21 - 25 th","Jatim","Super","tidak","ya","tv one","trans7","mnc tv","trans tv"
"Little, William","F","16 - 20 th","Jateng","Up1","ya","ya","net","trans7","inews","rcti"
"Duron, Mercedes","F","21 - 25 th","SUM 1","Super","ya","ya","trans tv","mnc tv","rcti","net"
"Luce, Marley","M","26 - 30 th","Jabar","Up1","tidak","ya","sctv","net","indosiar","inews"
"Medina, Maribel","M","21 - 25 th","Sulawesi","Mid","ya","ya","sctv","trans tv","indosiar","rcti"
"Navajo, Riley","M","21 - 25 th","Jateng","Super","ya","ya","trans tv","inews","net","indosiar"
"Marquez, Sierra","M","16 - 20 th","Jatim","Super","tidak","tidak","rcti","inews","trans tv","net"
"Boyer, Zachary","F","> 30 th","SUM 1","Mid","ya","ya","sctv","trans tv","tv one","net"
"Bunn, Tyler","M","21 - 25 th","Jatim","Mid","ya","tidak","inews","net","trans tv","mnc tv"
"Person, Chad","M","16 - 20 th","SUM 2","Super","ya","ya","net","trans tv","inews","sctv"
"Bashan, Hannah","M","21 - 25 th","SUM 2","Super","ya","ya","trans tv","inews","indosiar","net"
"Hernandez, Anabelen","M","> 30 th","Kalimantan","Mid","ya","ya","net","trans tv","indosiar","rcti"
"Ishikawa, Rah Mi","F","21 - 25 th","Jatim","Up1","ya","ya","trans7","sctv","trans tv","tv one"
"Ramirez, Paola","M","16 - 20 th","Jatim","Up1","ya","tidak","trans tv","mnc tv","inews","net"
"Outhouse, Joshua","F","21 - 25 th","BARA","Mid","tidak","ya","rcti","sctv","inews","net"
"Knight, Corey","F","16 - 20 th","Jatim","Mid","ya","ya","inews","trans7","trans tv","net"
"Kern, Xandra","F","21 - 25 th","PUMA","Mid","ya","tidak","inews","net","trans tv","sctv"
"el-Kaiser, Ziyaad","F","> 30 th","Jateng","Mid","ya","tidak","indosiar","sctv","net","trans tv"
"Samoy, Von Buddenbrock","F","21 - 25 th","Jatim","Mid","tidak","ya","inews","sctv","net","indosiar"
"Hatch, Alivia","F","26 - 30 th","Jateng","Mid","ya","tidak","mnc tv","trans tv","inews","trans7"
"Brown, Victoria","F","26 - 30 th","Jateng","Mid","ya","ya","inews","sctv","trans tv","trans7"
"Kessler, Arron","M","21 - 25 th","Jabar","Up2","tidak","ya","sctv","net","trans7","rcti"
"Demarc, Megan","M","16 - 20 th","SUM 2","Mid","ya","ya","sctv","net","mnc tv","tv one"
"Garner, Breanna","F","21 - 25 th","Jabar","Mid","tidak","ya","sctv","indosiar","rcti","net"
"Ohno, John","F","26 - 30 th","SUM 2","Mid","tidak","ya","indosiar","trans7","net","sctv"
"Ford, Ethan","M","11 - 15 th","Jatim","Mid","ya","ya","inews","indosiar","trans tv","trans7"
"Mcdonough, Shannon","M","26 - 30 th","Jabodetabek","Super","ya","ya","trans tv","mnc tv","indosiar","inews"
"al-Attar, Taiseer","M","> 30 th","Jabodetabek","Super","ya","ya","trans7","inews","net","trans tv"
"el-Jalali, Ghaaziya","M","11 - 15 th","Jatim","Mid","tidak","ya","inews","net","trans7","trans tv"
"Carringi, Austen","F","21 - 25 th","Jatim","Up2","tidak","ya","trans7","trans tv","sctv","net"
"Cornish, Ashley","M","21 - 25 th","Jateng","Up1","tidak","ya","trans7","net","trans tv","sctv"
"Nelson, Tommy","F","> 30 th","Jateng","Mid","tidak","ya","net","trans tv","sctv","inews"
"Anderson, Jesse","F","16 - 20 th","Jatim","Super","ya","ya","trans7","trans tv","inews","sctv"
"Burciaga, Jasper","M","11 - 15 th","PUMA","Mid","ya","ya","trans7","net","trans tv","sctv"
"Sawyers, Jonathan","F","21 - 25 th","Jatim","Super","tidak","ya","inews","sctv","net","trans tv"
"Musso, Britney","M","21 - 25 th","Jateng","Mid","ya","tidak","trans tv","sctv","net","rcti"
"Mcclendon, Denise","M","21 - 25 th","Jabar","Mid","ya","tidak","trans tv","inews","trans7","net"
"Waid, Steven","M","16 - 20 th","SUM 1","Super","tidak","ya","tv one","mnc tv","sctv","trans7"
"Shepherd, Kevin","F","21 - 25 th","Jabar","Mid","ya","ya","trans tv","indosiar","net","sctv"
"Simmons, Melissa","F","26 - 30 th","Jatim","Up1","ya","tidak","trans7","tv one","sctv","rcti"
"Lopez, Curtis","M","> 30 th","PUMA","Super","ya","ya","rcti","mnc tv","trans tv","trans7"
"Jeffries, Aungelique","F","21 - 25 th","SUM 1","Up2","ya","ya","net","trans7","tv one","rcti"
"Lee, Jae","F","11 - 15 th","Jabar","Up1","tidak","ya","sctv","trans tv","tv one","net"
"Banks, James","M","21 - 25 th","Jatim","Mid","ya","ya","trans tv","trans7","net","rcti"
"Kempsell, Kyle","M","16 - 20 th","BARA","Super","tidak","tidak","trans tv","inews","rcti","net"
"Vasquez, Gabriela","M","21 - 25 th","Jabar","Up1","tidak","ya","trans7","rcti","tv one","net"
"Martensen, Deric","F","21 - 25 th","Jabar","Super","ya","ya","rcti","tv one","net","trans tv"
"Norris, Tyler","M","21 - 25 th","Jateng","Mid","ya","ya","net","trans tv","mnc tv","sctv"
"Fahrenbruch, Kollin","M","> 30 th","Jabar","Mid","ya","ya","trans7","inews","tv one","net"
"Soto, Trey","F","21 - 25 th","Jabar","Up1","ya","tidak","net","trans tv","rcti","inews"
"Szeton, May Sue","M","11 - 15 th","PUMA","Up1","ya","ya","inews","trans7","net","sctv"
"Carta, Dakota","M","> 30 th","Jabodetabek","Up1","ya","ya","rcti","indosiar","sctv","net"
"Sky, Breston","F","21 - 25 th","Jabodetabek","Mid","tidak","ya","net","trans tv","sctv","indosiar"
"Almanza, Keani","M","16 - 20 th","Jabodetabek","Up2","ya","tidak","net","trans tv","mnc tv","sctv"
"Lee, James","F","11 - 15 th","Jatim","Up1","ya","ya","net","trans tv","sctv","trans7"
"al-Irani, Baasim","F","11 - 15 th","Jabodetabek","Super","tidak","tidak","net","tv one","indosiar","trans7"
"Barron, Omar","M","21 - 25 th","Jabodetabek","Up1","tidak","tidak","mnc tv","trans7","trans tv","net"
"Frazier, Ric","F","16 - 20 th","SUM 2","Mid","ya","ya","trans7","trans tv","sctv","mnc tv"
"Luna-Olivas, Keith","M","26 - 30 th","Sulawesi","Mid","ya","ya","rcti","net","trans tv","trans7"
"Troftgruben, Kristen","M","26 - 30 th","SUM 2","Mid","tidak","ya","net","trans tv","trans7","rcti"
"Patel, Andrew","F","21 - 25 th","BARA","Up2","tidak","tidak","net","trans7","trans tv","tv one"
"Hernandez, Ishaun","M","26 - 30 th","Jateng","Up2","tidak","tidak","trans7","rcti","net","mnc tv"
"Dalton, Shane","M","21 - 25 th","Jabar","Super","ya","ya","tv one","trans tv","sctv","rcti"
"Whiting, Zachary","M","> 30 th","Jabar","Super","tidak","ya","sctv","mnc tv","trans7","net"
"Davila, Jonathan","M","> 30 th","Jabar","Mid","ya","ya","sctv","indosiar","mnc tv","rcti"
"Koenigsberg, Anne","F","> 30 th","BARA","Mid","tidak","ya","net","trans7","mnc tv","rcti"
"Lamonaca, Emily","M","26 - 30 th","Jabodetabek","Super","ya","ya","inews","net","rcti","sctv"
"Dahm, Hannah","F","21 - 25 th","Jabodetabek","Up1","tidak","ya","inews","net","sctv","mnc tv"
"Fitzgerald, Darrell","M","21 - 25 th","Jabodetabek","Super","tidak","ya","sctv","rcti","inews","trans tv"
"Wallace, Ariel","F","26 - 30 th","BARA","Mid","ya","tidak","rcti","sctv","indosiar","trans tv"
"al-Moustafa, Zaahir","F","> 30 th","Jateng","Super","tidak","ya","net","trans tv","mnc tv","sctv"
"el-Naim, Sadoon","M","26 - 30 th","Sulawesi","Mid","ya","ya","inews","trans7","rcti","indosiar"
"Payne, Zachary","F","21 - 25 th","Jabodetabek","Mid","tidak","ya","trans7","trans tv","sctv","net"
"Oster, Saxony","M","16 - 20 th","Jatim","Up2","ya","tidak","tv one","trans7","mnc tv","net"
"Yoo, Lee","F","16 - 20 th","Jabodetabek","Mid","ya","ya","net","trans7","trans tv","indosiar"
"Wanberg, Maya","F","16 - 20 th","Sulawesi","Super","tidak","ya","inews","net","sctv","mnc tv"
"al-Hassan, Abdullah","M","26 - 30 th","SUM 2","Mid","tidak","ya","trans tv","trans7","rcti","tv one"
"el-Rad, Zahraaa","F","26 - 30 th","Jabar","Mid","ya","tidak","trans tv","sctv","trans7","mnc tv"
"Meltzer, Ty","M","21 - 25 th","PUMA","Mid","ya","ya","indosiar","trans tv","mnc tv","trans7"
"Jimenez, Erik","F","26 - 30 th","Jabodetabek","Mid","ya","ya","rcti","trans7","sctv","indosiar"
"el-Wahab, Haaritha","F","21 - 25 th","Jabodetabek","Up1","ya","ya","mnc tv","trans7","net","inews"
"Gandomcar, Kiri","M","16 - 20 th","Jabodetabek","Mid","tidak","ya","net","trans tv","rcti","sctv"
"Ray, Haden","M","21 - 25 th","SUM 1","Up1","ya","ya","net","rcti","sctv","trans7"
"Hughes, Cameron","M","16 - 20 th","Kalimantan","Up2","ya","tidak","trans7","sctv","rcti","net"
"Duran, Raul","M","16 - 20 th","SUM 2","Super","ya","ya","net","trans tv","sctv","trans7"
"Buccieri, Eamon","M","21 - 25 th","Jabar","Mid","tidak","ya","trans tv","tv one","sctv","net"
"el-Galla, Ikram","F","> 30 th","Jabodetabek","Up2","tidak","ya","sctv","net","trans7","inews"
"al-Ashraf, Ghaazi","M","26 - 30 th","Jabodetabek","Super","ya","ya","net","sctv","rcti","trans7"
"al-Odeh, Majdi","F","11 - 15 th","Jabodetabek","Super","tidak","ya","trans tv","trans7","sctv","net"
"Laoprasert, Patrick","F","16 - 20 th","SUM 2","Up2","tidak","tidak","rcti","inews","net","indosiar"
"el-Abdelnour, Ramza","M","26 - 30 th","SUM 1","Up2","ya","ya","mnc tv","trans7","sctv","rcti"
"Miller, Tashauna","M","16 - 20 th","Jatim","Mid","tidak","ya","trans7","indosiar","net","trans tv"
"al-Akbari, Abdul Quddoos","M","21 - 25 th","Jateng","Up2","tidak","ya","net","indosiar","trans7","sctv"
"Gray, Jennifer","M","21 - 25 th","PUMA","Up1","tidak","ya","inews","tv one","trans7","net"
"Mo, Mariah","M","21 - 25 th","Kalimantan","Mid","ya","ya","net","inews","rcti","trans7"
"al-Nagi, Ubaida","F","21 - 25 th","Jabodetabek","Up1","tidak","tidak","indosiar","trans7","net","tv one"
"Woodard, Sydney","F","16 - 20 th","SUM 2","Mid","tidak","ya","net","trans tv","inews","rcti"
"White, Rachel","M","21 - 25 th","Jatim","Mid","tidak","tidak","rcti","trans7","net","mnc tv"
"Tsehaye, Ashley","M","21 - 25 th","Jabar","Mid","tidak","ya","trans7","sctv","inews","trans tv"
"Castro, Cody","F","16 - 20 th","Jateng","Mid","ya","tidak","sctv","mnc tv","net","trans7"
"Io, Ian","F","16 - 20 th","Jabodetabek","Super","ya","tidak","rcti","net","sctv","trans7"
"Torres, Dakotah","F","16 - 20 th","Jateng","Mid","ya","ya","net","trans tv","trans7","mnc tv"
"Guice, Nicholas","M","21 - 25 th","SUM 2","Mid","ya","ya","inews","net","mnc tv","trans tv"
"Keller, Roman","M","11 - 15 th","SUM 2","Super","ya","ya","trans tv","rcti","net","indosiar"
"Bresciani, Leona","M","16 - 20 th","Kalimantan","Up1","ya","ya","tv one","mnc tv","sctv","trans tv"
"Vargas, Margaret","F","> 30 th","Jabar","Super","ya","ya","rcti","mnc tv","net","tv one"
"Kahsay, Damon","F","16 - 20 th","Jabodetabek","Up1","tidak","ya","inews","trans tv","trans7","net"
"Robinson, Samoun","F","26 - 30 th","Jabodetabek","Up2","ya","ya","mnc tv","trans7","net","rcti"
"Valdez, Christopher","F","> 30 th","Jateng","Super","ya","ya","mnc tv","trans7","rcti","inews"
"el-Rahmani, Mansoor","M","16 - 20 th","Jatim","Up1","ya","ya","sctv","net","tv one","trans7"
"Kelly, Charlene","F","21 - 25 th","Kalimantan","Mid","ya","ya","trans7","tv one","mnc tv","rcti"
"Mbasi-Mwanke, Victoria","F","26 - 30 th","SUM 2","Up1","ya","ya","trans7","inews","rcti","sctv"
"Micael, Derrick","F","> 30 th","Jateng","Mid","tidak","ya","trans7","sctv","net","indosiar"
"Wu, Alexander","F","26 - 30 th","Jabar","Super","ya","tidak","trans7","indosiar","mnc tv","sctv"
"Halliburton, Diarra","F","26 - 30 th","Jabar","Mid","tidak","ya","trans7","trans tv","tv one","sctv"
"Aloia, Jonathan","F","> 30 th","SUM 2","Up1","ya","ya","mnc tv","sctv","net","trans tv"
"Moore, Renee","M","21 - 25 th","Jabodetabek","Mid","ya","ya","net","sctv","trans7","trans tv"
"Molina, Kelvin","F","21 - 25 th","PUMA","Up1","tidak","ya","sctv","rcti","trans7","net"
"Morgan, James","F","> 30 th","Jateng","Mid","tidak","ya","trans7","sctv","net","rcti"
